,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2017-18,22.0,SAC,NBA,SF,68.0,1506.0,9.2,0.521,0.442,0.086,2.0,12.6,7.1,7.2,0.9,0.8,8.4,14.2,,0.4,0.5,1.0,0.031,,-2.4,-1.1,-3.5,-0.6
1,2018-19,23.0,TOT,NBA,SF,81.0,1614.0,11.3,0.561,0.505,0.163,2.8,11.0,6.9,8.1,0.9,0.7,5.3,14.3,,2.0,0.9,2.9,0.086,,-0.8,-0.8,-1.6,0.2
2,2018-19,23.0,SAC,NBA,SF,52.0,1083.0,10.1,0.546,0.539,0.169,2.3,11.8,6.9,8.0,1.0,1.0,6.5,12.9,,1.0,0.6,1.6,0.072,,-1.3,-0.5,-1.9,0.0
3,2018-19,23.0,DAL,NBA,SF,29.0,531.0,13.9,0.584,0.453,0.153,3.9,9.4,6.7,8.4,0.8,0.2,3.3,17.0,,1.0,0.3,1.3,0.114,,0.4,-1.4,-1.0,0.1
4,2019-20,24.0,DAL,NBA,PF,65.0,1045.0,9.5,0.496,0.478,0.147,2.7,12.6,7.7,6.8,0.7,0.8,3.7,15.4,,0.6,0.6,1.2,0.054,,-2.1,-1.3,-3.4,-0.4
5,2020-21,25.0,TOT,NBA,SF,34.0,577.0,10.4,0.516,0.529,0.167,2.9,11.1,6.9,13.9,1.2,0.3,11.9,19.8,,-0.1,0.3,0.2,0.018,,-2.3,-1.2,-3.5,-0.2
6,2020-21,25.0,OKC,NBA,SF,33.0,544.0,10.7,0.519,0.524,0.165,2.6,11.0,6.8,14.5,1.3,0.3,12.0,20.2,,-0.1,0.3,0.2,0.019,,-2.3,-1.0,-3.2,-0.2
7,2020-21,25.0,MIL,NBA,SF,1.0,33.0,5.8,0.455,0.667,0.222,6.6,12.3,9.6,3.6,0.0,0.0,9.2,13.8,,0.0,0.0,0.0,0.006,,-3.2,-4.8,-8.0,0.0
8,2021-22,26.0,TOT,NBA,SF,7.0,36.0,7.7,0.472,0.6,0.133,3.0,16.9,10.1,7.1,0.0,0.0,5.9,19.7,,0.0,0.0,0.0,0.033,,-2.2,-1.1,-3.3,0.0
9,2021-22,26.0,BOS,NBA,SF,1.0,2.0,22.7,0.532,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,,0.0,0.0,0.0,0.251,,1.9,-4.4,-2.5,0.0
10,2021-22,26.0,PHO,NBA,SF,6.0,35.0,6.8,0.464,0.643,0.0,3.1,17.9,10.7,7.5,0.0,0.0,6.7,18.4,,0.0,0.0,0.0,0.019,,-2.5,-0.9,-3.4,0.0
11,2022-23,27.0,BOS,NBA,SF,23.0,107.0,6.3,0.359,0.741,0.074,2.1,15.1,8.7,10.5,1.8,3.2,6.7,12.2,,-0.1,0.2,0.1,0.025,,-4.2,1.6,-2.6,0.0
12,Career,,,NBA,,278.0,4885.0,10.0,0.524,0.49,0.137,2.5,12.0,7.2,8.3,0.9,0.8,6.9,15.1,,2.8,2.6,5.3,0.052,,-1.8,-1.0,-2.8,-1.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2 seasons,,SAC,NBA,,120.0,2589.0,9.6,0.531,0.482,0.12,2.1,12.3,7.0,7.6,1.0,0.9,7.6,13.7,,1.4,1.2,2.6,0.048,,-2.0,-0.9,-2.8,-0.5
15,2 seasons,,DAL,NBA,,94.0,1576.0,11.0,0.528,0.469,0.149,3.1,11.5,7.4,7.3,0.7,0.6,3.6,15.9,,1.6,0.9,2.4,0.074,,-1.2,-1.4,-2.6,-0.2
16,1 season,,OKC,NBA,,33.0,544.0,10.7,0.519,0.524,0.165,2.6,11.0,6.8,14.5,1.3,0.3,12.0,20.2,,-0.1,0.3,0.2,0.019,,-2.3,-1.0,-3.2,-0.2
17,2 seasons,,BOS,NBA,,24.0,109.0,6.6,0.37,0.714,0.143,2.0,14.8,8.5,10.3,1.8,3.2,6.3,12.7,,-0.1,0.2,0.1,0.029,,-4.1,1.5,-2.6,0.0
18,1 season,,PHO,NBA,,6.0,35.0,6.8,0.464,0.643,0.0,3.1,17.9,10.7,7.5,0.0,0.0,6.7,18.4,,0.0,0.0,0.0,0.019,,-2.5,-0.9,-3.4,0.0
19,1 season,,MIL,NBA,,1.0,33.0,5.8,0.455,0.667,0.222,6.6,12.3,9.6,3.6,0.0,0.0,9.2,13.8,,0.0,0.0,0.0,0.006,,-3.2,-4.8,-8.0,0.0
